# i j cov
# order is xi+_0,xi+_1,...,xi-_0,xi-_1,.... from small scales to large in each
# tomo bins are in c order (i.e. 0,0 0,1 0,2 1,0 1,2 2,2) w/ internal order as above
3 19 -1.75657398041124747447e-12
3 20 4.67237691385630959618e-13
3 21 1.46183883386500851091e-13
3 22 2.20218972538582202146e-13
3 23 2.00597336334085494841e-13
3 24 6.36810024294838932185e-13
3 25 1.61497457325628201313e-12
3 26 1.55620030580075484491e-12
3 27 8.77250713877618853814e-13
3 28 2.67978576401635909685e-13
3 29 1.37036648421884844095e-13
3 30 2.27270262376318777461e-12
3 31 2.38614665334063450719e-13
3 32 2.45999129650600812141e-13
3 33 1.79039763326775423742e-14
3 34 3.57189201034523710577e-13
3 35 2.19705756066825794732e-13
3 36 6.61670772915295223707e-12
3 37 8.56312280442755851447e-13
3 38 3.62258804171693192065e-13
3 39 9.73812724682666602829e-13
3 40 3.31243325173899588850e-13
3 41 2.01202541084908854592e-13
3 42 -1.56202766028530047157e-12
3 43 -1.54262406770324905009e-12
3 44 8.79837937172022216678e-13
3 45 1.36623049895823353132e-13
3 46 1.34180234341965889831e-14
3 47 1.37745544502150318723e-13
3 48 1.74710880064784612738e-12
3 49 2.23249977499901519907e-12
3 50 1.38607874761260950376e-12
3 51 9.51836125076930923119e-13
3 52 3.44707590922096149233e-13
3 53 1.72392158995434004236e-13
3 54 1.30657523567548448125e-12
3 55 -3.66333885002402141945e-14
3 56 2.50251705341455535986e-13
3 57 3.90044020256408198521e-13
3 58 2.45101128923840215939e-13
3 59 1.72544816910655557379e-13
3 60 3.16187192680410962969e-12
3 61 1.75653635015038795714e-12
3 62 2.08201867020586038219e-12
3 63 1.01818546897164516137e-12
3 64 3.11627798738326814979e-13
3 65 2.16861043158050483242e-13
3 66 -1.44546651075248170384e-13
3 67 1.12221323122846136458e-12
3 68 6.28184466061832554871e-13
3 69 2.55106074746662978933e-13
3 70 2.53998238704661607859e-13
3 71 3.09102449941833477497e-13
4 0 -1.85398331880395977943e-14
4 1 7.38420448732940101107e-13
4 2 5.42764371351596722608e-13
4 3 3.32082243751754595676e-13
4 4 8.50362229704279738643e-13
4 5 8.79514435189159652391e-14
4 6 -1.88095543289193663562e-12
4 7 1.01883951925210938905e-12
4 8 3.33539149900163808105e-13
4 9 -7.32851733885695070384e-14
4 10 -4.88637326377518249470e-14
4 11 3.39162751604862765963e-14
4 12 1.03914254583985890015e-12
4 13 6.49535524320456706314e-13
4 14 2.71024565822820668054e-13
4 15 3.20608111798967869008e-13
4 16 3.99322280827801353813e-13
4 17 1.25449275375029392928e-13
4 18 2.14986308741870679055e-13
4 19 2.00880194115963235867e-13
4 20 6.40351575442186216919e-14
4 21 8.18193153253569229821e-14
4 22 2.02901583461420026184e-14
4 23 4.32511935755474118627e-14
4 24 -6.80055404168901432399e-13
4 25 7.67555865342648329309e-13
4 26 7.65706781522366822160e-13
4 27 3.04735531062682635208e-13
4 28 4.69250942866802522839e-13
4 29 1.72821949035329493794e-13
4 30 -8.60290759496107033631e-13
