# i j cov
# order is xi+_0,xi+_1,...,xi-_0,xi-_1,.... from small scales to large in each
# tomo bins are in c order (i.e. 0,0 0,1 0,2 1,0 1,2 2,2) w/ internal order as above
10 62 -8.18279472399504726111e-14
10 63 1.89701730705051255873e-14
10 64 6.09035515574529597343e-14
10 65 -4.24538212899120228995e-14
10 66 -1.08730982879882336705e-12
10 67 5.96077353331756184554e-13
10 68 2.92965424348562826809e-15
10 69 4.05317905982516236652e-14
10 70 1.36665654598100504544e-13
10 71 3.09640945388091602177e-14
11 0 7.01739065524160566854e-13
11 1 4.29885907531701877956e-13
11 2 6.33175885444873284975e-14
11 3 1.54212610937076235441e-13
11 4 3.39162751604862765963e-14
11 5 -1.09640635624946435044e-14
11 6 6.60716793027241552024e-13
11 7 4.49100144766752856621e-13
11 8 -3.81830354564456457248e-14
11 9 5.70076493068610122679e-14
11 10 3.41135285262204031628e-14
11 11 1.50389833526556123827e-13
11 12 8.98309186018068038714e-13
11 13 1.35296359784064988240e-14
11 14 2.92559529854651420193e-13
11 15 1.98647350081308513704e-13
11 16 4.36974282536556509362e-14
11 17 -1.10718842947348539684e-14
11 18 -8.06834808984836571243e-13
11 19 -3.45936548742430424065e-13
11 20 3.80329941063372135177e-14
11 21 5.24519311734047151013e-14
11 22 6.52385473985689537580e-14
11 23 8.91344574285271983687e-14
11 24 -1.91773789731304148593e-14
11 25 5.45392542965492108266e-13
11 26 2.53157056382105975051e-13
11 27 1.75024101216728851098e-13
11 28 6.05761629864983447147e-14
11 29 -2.15691201472909180321e-14
11 30 1.80792086376726894880e-13
11 31 -4.71000589021532508613e-14
11 32 6.17600863527646280886e-14
11 33 7.85733625038699468940e-14
11 34 3.14700805382287535333e-14
11 35 1.06415341132818392058e-13
11 36 6.80976025274429608062e-13
11 37 2.68273158425832343403e-13
11 38 2.36921672590011528779e-13
11 39 2.47667530012351236102e-13
11 40 6.02456652082586099725e-14
11 41 -1.32759879411673210409e-14
11 42 -3.00053472405173551431e-13
11 43 -5.41754684201642620346e-13
11 44 1.78415260867136461573e-13
11 45 4.79662155739051906949e-14
11 46 1.10756047099265360391e-14
11 47 8.47645243391991352680e-14
11 48 6.32997000692912410867e-13
11 49 4.64331553514599634509e-13
11 50 2.05795508541318743710e-13
11 51 2.68723052988174547820e-13
11 52 9.03017524677673209638e-14
11 53 -3.04673094918561504167e-14
11 54 3.52598766834329499372e-13
11 55 2.63592472087738245741e-13
11 56 6.79594777961069848873e-14
11 57 8.69763953482242294094e-14
11 58 5.13317312579712719713e-14
11 59 1.04719576580474166708e-13
11 60 8.70342731289152912751e-13
11 61 9.01682021975890899104e-13
11 62 3.77695189622164117561e-13
11 63 1.30797042121195967847e-13
11 64 1.70880734260857741315e-14
11 65 -2.44056343892946815709e-14
11 66 8.15688321773717299163e-13
11 67 1.17237143100047307197e-13
11 68 2.24178117200417637544e-13
11 69 9.82291021549225494830e-14
11 70 1.24866841869389779339e-13
11 71 9.60960761052686931748e-14
12 0 4.27794057206181320026e-11
12 1 4.08206560860941746667e-12
12 2 1.02673122775753176845e-11
12 3 3.58806566258328311074e-12
12 4 1.03914254583985890015e-12
12 5 4.15080288941480860800e-13
12 6 1.28998574211105269397e-11
12 7 8.18024033746391392366e-12
12 8 -2.29073137628703069205e-12
12 9 9.75679206043689406806e-13
12 10 1.18998672004788534246e-12
12 11 8.98309186018068038714e-13
12 12 1.35865582143879990312e-10
12 13 1.02612935468979036930e-11
12 14 1.02263350233442523785e-11
12 15 3.73182433508878530213e-12
12 16 2.81151741474717814446e-12
12 17 8.64837194506583568616e-14
12 18 -2.64374840757668356882e-11
12 19 -2.90690034819122930035e-12
12 20 1.97709887568075942922e-12
12 21 3.87496902050169917455e-12
12 22 1.93426917837309059696e-12
12 23 1.13391602965468122462e-12
12 24 3.06010445635962514419e-11
12 25 1.44274278066627447426e-11
12 26 5.57304230319402138304e-12
12 27 4.55765306373503500179e-12
12 28 2.94925879522907144154e-12
12 29 2.19599862453129863090e-13
12 30 8.75454517097556430396e-13
12 31 4.68176880408289995674e-12
12 32 3.82054768911941465221e-12
12 33 2.91216080246839584582e-12
12 34 1.28473913668115777940e-12
12 35 1.45387985774610293264e-12
12 36 1.98115478323897422898e-11
12 37 1.62340493693236450269e-11
12 38 1.04772079514266421709e-11
12 39 6.05942226120462156679e-12
12 40 2.91361053295123571422e-12
12 41 -5.78111116427251457065e-14
12 42 8.78208777062492230921e-12
12 43 9.20697671987064831715e-12
12 44 5.26056822164882865929e-12
12 45 3.36479475925431348507e-12
12 46 1.42975997849244554913e-12
12 47 1.11300218606027361894e-12
12 48 3.46385241588805065327e-11
12 49 1.47191505478360384225e-11
12 50 9.67191712275596219948e-12
12 51 6.80501433394447720798e-12
12 52 3.32666826234983905936e-12
12 53 4.04712537363977862527e-13
12 54 1.40362011342920697484e-11
12 55 -2.71466165635073065946e-12
12 56 5.14938833640748018571e-12
12 57 2.87533496991848093529e-12
12 58 5.66987218304384718084e-13
12 59 1.60062862638266776554e-12
12 60 5.42511679388872394166e-11
12 61 1.65127390049046357757e-11
12 62 1.23558739556428946668e-11
12 63 7.32609225073497100092e-12
12 64 4.62416655251052920994e-12
12 65 6.04426622234500700555e-14
12 66 -7.89731074389002008557e-14
12 67 -1.55593732410083710744e-12
12 68 5.35496145810981611445e-12
12 69 3.95581091635487653311e-12
12 70 2.31103904753928517317e-12
12 71 1.69153382037864344683e-12
13 0 1.42706787118654797676e-11
13 1 5.86026858201386112618e-12
13 2 1.08513686446212609601e-12
13 3 1.05207584713079411557e-12
13 4 6.49535524320456706314e-13
13 5 -1.85661072430352878434e-13
13 6 5.47322941876778838388e-12
13 7 1.39997234877643819892e-12
13 8 -2.77336877347751110022e-12
13 9 3.33966820745841385932e-13
13 10 2.11241788507195276867e-13
13 11 1.35296359784064988240e-14
13 12 1.02612935468979036930e-11
13 13 2.54939732793866592898e-11
13 14 3.07256958211506094441e-12
13 15 1.32349966701026062475e-12
13 16 3.74962717820438524092e-13
13 17 -1.86819838544838027183e-13
13 18 -6.25233258740077604635e-13
13 19 -2.34380745495452674683e-12
13 20 1.43861698011412113373e-12
13 21 5.02937775999922827626e-13
13 22 6.50861614041438891261e-13
13 23 2.50071218646934588629e-13
13 24 4.30038393951221594600e-12
13 25 4.20659064537671764023e-12
13 26 2.24509521296976372452e-12
13 27 5.21859016397630814849e-13
13 28 2.09809700973533844041e-13
13 29 -2.45776314924873433376e-13
13 30 -3.30100929267582689489e-12
13 31 7.31109099087625224085e-13
13 32 5.36997226962903579492e-13
13 33 5.90717301824647832574e-13
13 34 5.91795948982497717238e-13
13 35 -2.64272446998662965639e-15
13 36 1.77658113168832952519e-11
13 37 6.22238100646204254312e-12
13 38 4.74022436089172931970e-12
13 39 8.49412684918376526858e-13
13 40 -3.69219252461226624268e-13
13 41 -3.38828039020225345568e-13
13 42 -1.31748300851193794369e-14
13 43 4.43809904832089292619e-12
13 44 1.02580444935697660575e-12
13 45 5.85930843464245742697e-13
13 46 1.14091803878829950055e-12
13 47 4.78533553836777015221e-13
13 48 2.66740955744174409664e-12
13 49 4.31852372674299979702e-12
13 50 2.63166985437620160334e-12
13 51 1.67166664445940589168e-12
13 52 1.14634102273958688180e-13
13 53 -9.05290198828136459479e-14
13 54 -1.71181586727154022500e-13
13 55 -2.97516787497013894566e-14
13 56 3.38908900860263382035e-13
13 57 8.33774496178253674754e-13
13 58 9.52039582169072392630e-13
13 59 2.19104012535344390918e-13
13 60 1.13579995325017797337e-11
13 61 1.05119040945162222997e-11
13 62 5.90702687867167292222e-12
13 63 7.20972689212422743811e-13
13 64 -6.37909051707368651046e-13
13 65 -8.44685603744740506733e-14
13 66 -6.94845836061930140295e-12
13 67 2.94372037250370554568e-12
13 68 2.72089693751793281241e-13
13 69 1.36678423320585379321e-12
13 70 9.54791440715705460899e-13
13 71 -1.90288895534113680269e-13
14 0 8.19177227718562851623e-12
14 1 3.23704888628501909128e-12
14 2 3.02491512018395374920e-12
14 3 1.23571367197994752199e-12
14 4 2.71024565822820668054e-13
14 5 1.81027730241338985264e-13
14 6 2.22383582596142657008e-12
14 7 2.71152388177537698110e-12
14 8 3.56892380972844278614e-13
14 9 2.06855834705497714156e-13
14 10 2.28485006545237304116e-13
14 11 2.92559529854651420193e-13
14 12 1.02263350233442523785e-11
14 13 3.07256958211506094441e-12
14 14 6.40800566649893418734e-12
14 15 9.84447201705438931161e-13
14 16 5.28921160978507282678e-13
14 17 2.47244713372627592369e-13
14 18 -1.38463747908724238750e-12
14 19 8.33565550626183405169e-13
14 20 6.77975512759347314231e-13
14 21 8.72046392921159718353e-13
14 22 4.06008893646781320658e-13
14 23 3.53359678115717075471e-13
14 24 2.80951389520503274735e-12
14 25 3.60222161081158916006e-12
14 26 3.07606177368644560451e-12
14 27 1.02671102301744149824e-12
14 28 5.83804460481821020235e-13
14 29 3.79010493903197797418e-13
14 30 -1.80391114548286259235e-12
14 31 2.30058797827341807169e-13
14 32 7.35277825878178367025e-13
14 33 4.91696783207263087676e-13
14 34 5.07935327932703311233e-13
14 35 2.72821849676447778696e-13
14 36 9.07998896773741256486e-12
14 37 3.78936747281721798233e-12
14 38 2.32714237845455975942e-12
14 39 1.77403952327267311464e-12
14 40 6.40783049826297186345e-13
14 41 3.10270325597299411436e-13
14 42 -2.14005373346605511743e-12
14 43 -7.94120800467884747574e-13
14 44 3.64686028712946098817e-13
14 45 5.04510866388127159736e-13
14 46 2.94893769054457166339e-13
14 47 3.77999443381385152400e-13
14 48 3.60262554420934496637e-12
14 49 4.11940349639262172518e-12
14 50 2.36643173398137909426e-12
14 51 1.82803329474454203013e-12
14 52 7.60701746766176856318e-13
14 53 4.19239940622396385304e-13
14 54 -1.87393088579615857200e-12
14 55 -9.89417980790234481342e-13
14 56 3.25800758558180318668e-13
14 57 5.30300334594591374013e-13
14 58 4.07871874906139668220e-13
14 59 3.63945717882175286022e-13
14 60 7.43116401370278029350e-12
14 61 6.26461729475688264275e-12
14 62 4.17119042999071260222e-12
14 63 1.76981355476863437262e-12
14 64 6.02882887380727263049e-13
14 65 4.97083495917938336662e-13
14 66 6.76887073007554432149e-12
14 67 1.63769454461853950154e-12
14 68 1.54348408879409189740e-12
14 69 7.64138077840581958336e-13
14 70 5.45384660758333466090e-13
14 71 2.61011452741432650572e-13
15 0 -2.37837482388648081530e-14
15 1 1.12802032033313953657e-12
15 2 6.27877019140284090670e-13
15 3 9.96106250940199959295e-13
15 4 3.20608111798967869008e-13
15 5 2.25118803615518179998e-14
15 6 -6.02293113810633683374e-13
15 7 2.25081477746883601085e-13
15 8 -2.03274792989896486979e-13
15 9 -3.13577211696942344090e-14
15 10 8.90948401467625747638e-14
15 11 1.98647350081308513704e-13
15 12 3.73182433508878530213e-12
15 13 1.32349966701026062475e-12
15 14 9.84447201705438931161e-13
15 15 1.86386461986432430304e-12
15 16 4.42550007161421688857e-13
15 17 4.80658845606591216336e-14
15 18 -2.56446938762171179859e-12
15 19 -8.44290574573776669593e-13
15 20 7.12922903452659110035e-14
15 21 1.61390766134400398689e-13
15 22 2.56226697105920383954e-13
15 23 2.01751645599959514612e-13
15 24 7.03209754407900027519e-13
15 25 5.56179955486468506097e-13
15 26 1.28132346404013579821e-12
15 27 8.94582289803559993115e-13
15 28 5.71581693080702985729e-13
15 29 1.15988986503365617490e-13
15 30 -4.46904764788444255070e-13
15 31 -3.00748276485924775215e-13
15 32 1.90558889740048327705e-13
15 33 6.33687751450707366644e-14
15 34 1.75951336801784198035e-13
15 35 1.91331097814879761078e-13
15 36 4.74461213428541128625e-12
15 37 1.59401189582652471828e-12
15 38 1.00406852157473266708e-12
15 39 1.19155042210955341189e-12
15 40 3.46924991929635838714e-13
15 41 7.14863758754657878273e-14
15 42 -1.85207617868379527467e-12
15 43 -5.91090432687655156963e-13
15 44 -3.13677391626280563939e-13
15 45 4.08113216015205392532e-14
15 46 1.80829028594777162596e-13
15 47 2.39577425973715731652e-13
15 48 -5.98411738726120032619e-13
15 49 1.73978859607222111360e-12
15 50 1.53890698360809889111e-12
15 51 1.24983385903244165102e-12
15 52 4.30279266621237458100e-13
15 53 1.53971838474812989839e-13
15 54 2.07006768385720772858e-14
15 55 1.33131024040938474736e-13
15 56 3.15801820847033631694e-13
15 57 1.45040228485564652799e-13
15 58 2.68788010691263590449e-13
15 59 1.85326141198337287666e-13
15 60 5.66448066660118095607e-12
15 61 3.02541004765194903670e-12
15 62 2.20371402059223240537e-12
15 63 1.06582102468411432727e-12
15 64 4.81387019674687180057e-13
15 65 2.09082634603593219962e-13
15 66 1.13770825993583704907e-12
15 67 -3.40598207204060906861e-13
15 68 4.05622709452718517065e-13
15 69 3.18531295412041823741e-13
15 70 3.15209997849906744686e-13
15 71 1.84539058286057922565e-13
16 0 5.19705290159557042510e-13
16 1 1.06437819128076946316e-12
16 2 6.52149112106717518579e-13
16 3 2.78072210740874775565e-13
16 4 3.99322280827801353813e-13
16 5 6.80386248762714910290e-14
16 6 -8.70059276961880073225e-13
16 7 3.15988684020563303300e-13
16 8 1.38396753110747128482e-13
16 9 -3.59341062954419367820e-14
16 10 3.46405236170220011945e-14
16 11 4.36974282536556509362e-14
16 12 2.81151741474717814446e-12
16 13 3.74962717820438524092e-13
16 14 5.28921160978507282678e-13
16 15 4.42550007161421688857e-13
16 16 5.90481732381880764008e-13
16 17 1.28263063871802433335e-13
16 18 -8.59338546330824432133e-13
16 19 2.98674630995099605306e-13
16 20 -1.77023331335002215152e-13
16 21 1.71225086822219404080e-13
16 22 1.05434743358838017058e-13
16 23 6.58109786403332651229e-14
16 24 1.02126741848341042580e-12
16 25 2.74983044554399466477e-13
16 26 7.78892839946329660010e-13
16 27 4.48644318612878469570e-13
16 28 5.36955939644231521892e-13
16 29 1.59305191804317902283e-13
16 30 -7.72613248371658951399e-13
16 31 3.65713967326258115697e-13
16 32 1.16682250990228695266e-13
16 33 1.05626886423111225546e-14
16 34 2.17241850238547043278e-14
16 35 7.33197326315669454214e-14
16 36 1.73776746143108930831e-12
16 37 3.21848789423239598843e-13
16 38 6.89282513398685291124e-13
16 39 4.40604001425677438608e-13
16 40 4.49986117295267703709e-13
16 41 2.42307472470534103467e-13
16 42 -2.61278602412457234626e-13
16 43 2.90754537754379083531e-13
16 44 -9.79131824677934858128e-15
16 45 6.89438791733128889928e-14
16 46 -8.29277071732913304536e-15
16 47 4.85047727721791925476e-14
16 48 8.08095884782240853958e-13
16 49 1.14060714184318318208e-12
16 50 5.07558587888157029438e-13
16 51 5.12923838019649152089e-13
16 52 4.82735101596914096582e-13
16 53 2.68819003729396235578e-13
16 54 -1.19897642832795678506e-12
16 55 4.65470180219441542767e-13
16 56 4.29598568783878396589e-13
16 57 3.88651107176844842276e-14
16 58 1.97750143462497823226e-14
16 59 7.64891521422399252488e-14
16 60 3.68965178319081911513e-12
16 61 3.17179030694550756855e-13
16 62 5.39874490154571690518e-13
16 63 5.70341697618191832753e-13
16 64 5.28705743352325895343e-13
16 65 2.75852743877082739805e-13
16 66 -3.37482979680065618659e-13
16 67 1.41678766257538943280e-13
16 68 3.38971933232075272598e-13
16 69 1.89963219775707060009e-13
16 70 1.51525204847388052501e-14
16 71 6.06002543427864872393e-14
17 0 1.24825523990990584762e-13
17 1 6.92308501806441034289e-13
17 2 -4.07166416321860812824e-14
17 3 1.65356968316336130861e-13
17 4 1.25449275375029392928e-13
17 5 1.48961929141439027494e-13
17 6 -3.06988781710659771773e-13
17 7 9.93682957366185424724e-14
17 8 2.30371820945706958356e-13
17 9 -1.01828928975194367032e-13
17 10 -9.32563929916229040098e-15
17 11 -1.10718842947348539684e-14
17 12 8.64837194506583568616e-14
17 13 -1.86819838544838027183e-13
17 14 2.47244713372627592369e-13
17 15 4.80658845606591216336e-14
17 16 1.28263063871802433335e-13
17 17 2.55077290648694817499e-13
17 18 3.03813478977950573704e-13
17 19 1.94620643660548828659e-13
17 20 9.08911033907626422231e-15
17 21 1.61491022541462608528e-14
17 22 6.21092257294034520114e-16
17 23 4.17918127625082117152e-16
17 24 8.24814775667879102809e-13
17 25 1.63524410714947536500e-13
17 26 3.82282084373958203215e-13
17 27 9.11032473735042577012e-14
17 28 1.73567003066209741683e-13
17 29 2.33506831707584026351e-13
17 30 -2.48631440165026990259e-13
17 31 -3.35567134539553117966e-13
17 32 -1.11703441883424122005e-13
17 33 -6.58646247041814961662e-15
17 34 4.54509220742809250889e-14
17 35 -1.80539967162836329938e-15
17 36 7.31853367944827099715e-13
17 37 -3.09832216725980293475e-13
17 38 1.64255805174248661179e-13
17 39 3.49599890398554227995e-14
17 40 1.81854263093308536575e-13
17 41 3.12913062063393006815e-13
17 42 2.75187680766973865132e-13
17 43 -1.80068583052373541307e-13
17 44 1.88611173943238915089e-13
17 45 5.93767338482913095856e-14
17 46 -9.96533432294570894516e-15
17 47 -4.12906508579317893016e-14
17 48 -1.81168210198103477264e-13
17 49 5.49417068093550414741e-13
17 50 8.64795286659871583943e-14
17 51 2.16649838614063472221e-13
17 52 2.04310622799739603988e-13
17 53 3.33567576176616130447e-13
17 54 7.09023869431385262337e-14
17 55 -1.01967501859195679061e-14
17 56 -6.62763293765556794696e-14
17 57 -4.31680056542296117761e-14
17 58 -9.17254785291171904414e-16
17 59 -2.19781837319349640042e-14
17 60 1.64324147669887914955e-12
17 61 -1.79179890811723388732e-13
17 62 4.09620581040373235297e-13
17 63 2.51343202957227333162e-13
17 64 2.74043405332210757142e-13
17 65 3.13458883435153108151e-13
17 66 4.79545625599243694500e-13
17 67 6.62236568571403432701e-14
17 68 9.64774148362429658093e-14
17 69 -2.38408586904929253297e-14
17 70 -3.38946368000961458380e-14
17 71 -1.81810772010014239191e-14
18 0 -2.71318269142575303493e-12
18 1 3.43579342991157775007e-12
18 2 2.38917195679497563306e-12
18 3 1.48022336430351914596e-12
18 4 2.14986308741870679055e-13
18 5 3.32630344460358985011e-13
18 6 -1.75378409411753828338e-11
18 7 9.85913650294392078753e-12
18 8 -1.82160452915334011481e-12
18 9 -8.37238522933924803097e-13
18 10 -7.09553312026422170483e-13
18 11 -8.06834808984836571243e-13
18 12 -2.64374840757668356882e-11
18 13 -6.25233258740077604635e-13
18 14 -1.38463747908724238750e-12
18 15 -2.56446938762171179859e-12
18 16 -8.59338546330824432133e-13
18 17 3.03813478977950573704e-13
18 18 1.26366984749650152606e-10
18 19 -9.55731924534751525753e-12
18 20 -1.40937652888126008723e-13
18 21 -9.44935944140161557937e-13
18 22 -2.05565024042607514716e-13
18 23 -7.31513304000029121937e-13
18 24 -8.18386223003039418378e-12
18 25 -9.70224507402422148625e-12
18 26 -2.27564530209606599380e-12
18 27 -2.22727904668168867053e-12
18 28 -3.73390226330766357954e-13
18 29 2.26330426012071861387e-13
18 30 1.44387690018953657359e-11
18 31 4.21831989299220550481e-12
18 32 -1.50545861297999289219e-12
18 33 -2.12507484513826647182e-12
18 34 -6.30593978052706329174e-13
18 35 -6.07273210173740252004e-13
18 36 -2.18169127301090900798e-11
18 37 -5.89085980776933720993e-12
18 38 1.24845987995392980117e-12
18 39 -1.82456960850242385896e-12
18 40 -7.12655573762662188561e-13
18 41 7.17215452143254296265e-13
18 42 -2.73817899000966655632e-12
18 43 -1.65339256294408688713e-12
18 44 2.26320630797774870999e-13
18 45 -8.51159057196205602551e-13
18 46 1.99319068462454869108e-13
18 47 -1.40803526756912538013e-12
18 48 -6.06257295065893939855e-13
18 49 -2.48983500047640894109e-12
18 50 -1.73507364691818967467e-12
18 51 -2.53142456448442278867e-12
18 52 -1.10866006225760162739e-12
18 53 5.05066890410064721214e-13
18 54 -3.49781033969933573149e-12
18 55 1.18430614816684076560e-12
18 56 -6.94624304613037905787e-12
18 57 -9.56346347366586077833e-13
18 58 -7.15613435272541937001e-13
18 59 -1.20152553352239002340e-12
18 60 -4.27332123729403780159e-12
18 61 -1.90707062025180531554e-11
18 62 -1.27214615717578069220e-12
18 63 -1.18117902438116597287e-12
18 64 -5.94892926403909550039e-13
18 65 6.13328759379327313320e-13
18 66 -1.29045233592159204540e-11
18 67 2.37127392875668487394e-12
18 68 -3.56971702220045342187e-12
18 69 -1.96590320746214631663e-12
18 70 -7.62731009945731095064e-13
18 71 -7.35088703315663828184e-13
19 0 -4.73094496417639790516e-12
19 1 -2.46911363983499641917e-13
19 2 -1.84372287960837565072e-12
19 3 -1.75657398041124747447e-12
19 4 2.00880194115963235867e-13
19 5 2.19159820192501275513e-13
19 6 -4.88515098369634304182e-12
19 7 7.12242047010438579755e-13
19 8 2.36550152348688040936e-13
19 9 2.35967127475345010465e-13
19 10 -3.84733256658459079416e-13
19 11 -3.45936548742430424065e-13
19 12 -2.90690034819122930035e-12
19 13 -2.34380745495452674683e-12
19 14 8.33565550626183405169e-13
19 15 -8.44290574573776669593e-13
19 16 2.98674630995099605306e-13
19 17 1.94620643660548828659e-13
19 18 -9.55731924534751525753e-12
19 19 2.10960556782459330660e-11
19 20 -3.55317163438040103832e-13
19 21 5.16402245765594778654e-13
19 22 -2.70521523158910894435e-13
19 23 -1.09915424560346471210e-13
19 24 8.04458542267894608474e-12
19 25 1.98733930513721195085e-12
19 26 -7.41999992179094114636e-13
19 27 -3.09691333371363677291e-13
19 28 5.79106114027724559269e-13
19 29 2.67673041656436969229e-13
19 30 -1.42821953768594870993e-12
19 31 1.35629080480923992255e-12
19 32 2.78184896004678093222e-13
19 33 2.59473946084389172049e-13
19 34 -3.29885884077015018267e-13
19 35 -1.16264367131705342998e-13
19 36 6.58525862902941301680e-12
19 37 -1.64455121706170699402e-12
19 38 1.33507921085636945603e-12
19 39 1.73801816291946771049e-13
19 40 3.46793039418835329049e-13
19 41 1.23009843997487863711e-13
19 42 4.83730980262962089940e-12
19 43 3.28796077760394649408e-12
19 44 -2.33306306962822721968e-13
19 45 7.53051655627488381530e-13
19 46 -3.07623524289131395643e-14
19 47 1.63984510635524401821e-13
19 48 -2.30399700884578845119e-12
19 49 -1.79122139705595445669e-12
19 50 -7.14557630164285644430e-13
19 51 -4.85382726516285063747e-14
19 52 2.76342439004707021428e-13
19 53 2.60628360332693782741e-13
19 54 1.29370863592130961348e-12
19 55 2.83819899506184442151e-12
19 56 3.09797942139055232633e-13
19 57 -6.19876759785182454939e-13
19 58 -1.19839001928938311798e-13
19 59 2.36533670165165421785e-13
19 60 1.23735721825988650077e-12
19 61 -9.98858654075237437824e-13
19 62 -3.28688334961092515897e-12
19 63 -6.83776807242914421786e-13
19 64 1.85011695786859359670e-13
19 65 4.74397125494144575782e-14
19 66 5.58087501784503179255e-12
19 67 -3.46357832908004566473e-12
19 68 1.25867639172873871746e-12
19 69 -1.56550420627948703843e-13
19 70 -5.59206144883497743179e-13
19 71 -2.29994043347507691109e-13
20 0 3.17912636110080655137e-12
20 1 7.95065505011391034438e-13
20 2 1.45641950281326290426e-13
20 3 4.67237691385630959618e-13
20 4 6.40351575442186216919e-14
20 5 -3.51735519446616546319e-14
20 6 1.98146214010737582239e-12
20 7 2.53298421275370532631e-12
20 8 5.11724741117217877390e-13
20 9 -8.45036135231482104464e-14
20 10 1.93155030874523960236e-13
20 11 3.80329941063372135177e-14
20 12 1.97709887568075942922e-12
20 13 1.43861698011412113373e-12
20 14 6.77975512759347314231e-13
20 15 7.12922903452659110035e-14
20 16 -1.77023331335002215152e-13
20 17 9.08911033907626422231e-15
20 18 -1.40937652888126008723e-13
20 19 -3.55317163438040103832e-13
20 20 5.09421257414638578888e-12
20 21 2.14917466979348816732e-15
20 22 1.79709476251665679637e-13
20 23 1.60532816777408787016e-13
20 24 1.49555735196565350157e-14
20 25 3.82028054255369414429e-12
20 26 1.13039610252706633679e-12
20 27 3.24120444544100193641e-13
20 28 -4.44185948272730693199e-14
20 29 -9.87758938730290009401e-15
20 30 -5.54794721102280629102e-13
20 31 9.53785764603214644310e-13
20 32 1.15113683758160620641e-12
20 33 5.34622496774519795545e-13
20 34 1.44243700269149990240e-13
20 35 1.15940336338988448732e-13
20 36 6.71124193089383057982e-12
20 37 4.88694316319806246825e-13
20 38 5.87151340872837269895e-13
20 39 6.20693608014331934470e-13
20 40 -8.18760130320822208807e-14
20 41 2.94513486882068168592e-14
20 42 2.98460543604346290975e-12
20 43 -2.43504579495421139831e-12
20 44 4.74561444563234637000e-13
20 45 6.98881932850464380917e-13
20 46 1.71421300755147472912e-13
20 47 9.56702086735036022808e-15
20 48 6.63494471207361736696e-13
20 49 1.13683547724470024108e-12
20 50 9.00601325131379926439e-13
20 51 5.09026264336868414959e-13
20 52 -4.62531980686114015072e-14
20 53 -2.98328246158381688874e-14
20 54 4.38703855696818424872e-12
20 55 -1.58886510742264956249e-12
20 56 3.16742704445257267370e-13
20 57 2.60925249320536522061e-13
20 58 1.42696597145043942738e-13
20 59 1.62396656250867527960e-13
20 60 2.21021196799175634466e-12
20 61 4.65713339904028339642e-12
20 62 1.20943876266993456008e-12
20 63 8.52174058686158896320e-13
20 64 -3.03124482331825757680e-13
20 65 2.06988557026300708976e-13
20 66 -2.34526333787791769123e-12
20 67 -8.36540502621364213261e-13
20 68 -9.82555580886115129703e-13
20 69 4.57022914727036347162e-13
20 70 -5.25101936877695840811e-14
20 71 2.12832141324737633356e-13
21 0 1.80854738375416905023e-12
21 1 1.28829966938569605971e-12
21 2 1.02508154691143481655e-13
21 3 1.46183883386500851091e-13
21 4 8.18193153253569229821e-14
21 5 2.74761004828432519429e-14
21 6 1.12092340663870640836e-13
21 7 6.69860540253620385469e-13
21 8 1.25235802873120858117e-13
21 9 6.07897310743627589966e-15
21 10 -4.67381285604905144143e-14
21 11 5.24519311734047151013e-14
21 12 3.87496902050169917455e-12
21 13 5.02937775999922827626e-13
21 14 8.72046392921159718353e-13
21 15 1.61390766134400398689e-13
21 16 1.71225086822219404080e-13
21 17 1.61491022541462608528e-14
21 18 -9.44935944140161557937e-13
21 19 5.16402245765594778654e-13
21 20 2.14917466979348816732e-15
21 21 1.01242762584374926726e-12
21 22 1.12182457636464856196e-13
21 23 7.06010026386902695606e-14
21 24 7.35981385357267916654e-14
21 25 4.78528142699716619384e-13
21 26 4.51790100442797944302e-13
21 27 9.83512207451198427649e-14
21 28 2.71628055928364433674e-13
21 29 -1.43658133309340239507e-15
21 30 -8.95783922401069287957e-13
21 31 -1.10113996513796729540e-13
21 32 2.50014764925943946885e-14
21 33 2.77707342231330894721e-13
21 34 9.87079445304984898022e-14
21 35 8.86351334633720999604e-14
21 36 2.28039719848084509739e-12
21 37 2.48046998309457017598e-13
21 38 1.29129322366012309733e-13
21 39 2.40581382022118838716e-13
21 40 4.55773160826099277109e-14
21 41 2.01706966266150956590e-14
21 42 1.61066018482436963466e-12
21 43 8.41607310447697700961e-13
21 44 2.09025690828854360724e-13
21 45 2.62427261751023102986e-13
21 46 1.10928192287499366990e-14
21 47 9.67323475003833282015e-14
21 48 4.10510849547782187379e-13
21 49 1.33059971072611162129e-12
21 50 4.12270405171832323649e-13
21 51 1.58116871474001199587e-13
21 52 1.70457133917567429341e-13
21 53 1.31039111168088211440e-14
21 54 1.89362715136397216125e-13
21 55 4.25080821441094101588e-13
21 56 1.24148647841111899767e-13
21 57 2.82844911001647535406e-13
21 58 6.66522354831573685898e-14
21 59 5.52695641801320809111e-14
21 60 4.08816435431400852585e-12
21 61 9.21510738958727153661e-13
21 62 8.44061347158843220609e-13
21 63 4.07441531611262351862e-13
21 64 2.09744941387934667139e-13
21 65 -1.06847235101526697878e-14
21 66 -2.38108849122737069563e-13
21 67 -9.39571333909155059603e-14
21 68 8.58629097620215244597e-13
21 69 2.85720713774269235151e-13
21 70 2.17430900814194627163e-13
21 71 1.19537515744940172257e-13
22 0 1.53439439061876575025e-12
22 1 6.00882089460102662636e-13
22 2 4.25929462808995858656e-13
