# theta xi
# order is xi+_0,xi+_1,...,xi-_0,xi-_1,.... from small scales to large in each
# tomo bins are in c order (i.e. 0,0 0,1 0,2 1,0 1,2 2,2) w/ internal order as above
# theta in arcmin
3.38560000000000016485e+00 2.62200999999999990539e-06
7.80747000000000035413e+00 1.26238999999999995313e-05
1.79884999999999983800e+01 9.08529000000000021948e-06
4.13740999999999985448e+01 2.53978999999999995399e-06
9.47797000000000053888e+01 4.62588999999999987346e-07
2.14531000000000005912e+02 1.51886999999999988867e-07
3.38560000000000016485e+00 3.07645999999999974290e-07
7.80747000000000035413e+00 -5.13682000000000022730e-06
1.79884999999999983800e+01 4.86619000000000024512e-06
4.13740999999999985448e+01 2.28132000000000020775e-06
9.47797000000000053888e+01 7.76800000000000020753e-07
2.14531000000000005912e+02 7.35407999999999989981e-07
3.38804999999999978400e+00 1.62056999999999996952e-05
7.81139999999999989910e+00 9.24817999999999926469e-06
1.79934000000000011710e+01 3.66155000000000012023e-06
4.13832000000000022055e+01 2.51189000000000018723e-06
9.48050000000000068212e+01 1.68249999999999998474e-06
2.14691000000000002501e+02 1.46060999999999989506e-06
3.38804999999999978400e+00 3.27485000000000007876e-06
7.81139999999999989910e+00 1.47504999999999996348e-06
1.79934000000000011710e+01 5.96984000000000025781e-06
4.13832000000000022055e+01 1.07803000000000007841e-06
9.48050000000000068212e+01 1.04287000000000002033e-06
2.14691000000000002501e+02 5.47220000000000052127e-07
3.38925000000000009592e+00 5.03365000000000016307e-05
7.81454000000000004178e+00 9.06708000000000027016e-06
1.79996000000000009322e+01 1.17049000000000003681e-05
4.13943000000000012051e+01 2.31318000000000001791e-06
9.47690000000000054570e+01 1.41105000000000002567e-06
2.14411000000000001364e+02 6.88338999999999954101e-07
3.38925000000000009592e+00 3.09503000000000007925e-05
7.81454000000000004178e+00 -5.81718000000000026592e-06
1.79996000000000009322e+01 5.14005000000000002527e-06
4.13943000000000012051e+01 1.44021999999999990901e-06
9.47690000000000054570e+01 1.17031999999999996051e-06
2.14411000000000001364e+02 3.76880000000000023688e-07
3.38626000000000004775e+00 9.50184000000000049185e-06
7.80865999999999971237e+00 3.03310000000000014873e-05
1.79879999999999995453e+01 8.74515000000000045728e-06
4.13753999999999990678e+01 5.69739000000000001185e-06
9.47913000000000067757e+01 3.09241000000000009417e-06
2.14820999999999997954e+02 2.47732000000000010995e-06
3.38626000000000004775e+00 2.25332999999999998954e-05
7.80865999999999971237e+00 9.17015999999999962882e-06
1.79879999999999995453e+01 7.31507999999999993440e-06
4.13753999999999990678e+01 2.03537000000000004688e-06
9.47913000000000067757e+01 9.58020999999999920110e-07
2.14820999999999997954e+02 7.60353000000000032363e-07
3.38782000000000005357e+00 5.91251000000000007995e-05
7.81278999999999967940e+00 2.22966999999999994841e-05
1.79963000000000015177e+01 1.37388999999999998673e-05
4.13900999999999967827e+01 3.48400999999999986850e-06
9.47772999999999967713e+01 1.06898999999999999217e-06
2.14554000000000002046e+02 1.32122000000000007428e-06
3.38782000000000005357e+00 8.18932999999999965317e-07
7.81278999999999967940e+00 7.39943000000000023641e-06
1.79963000000000015177e+01 6.22746999999999968682e-06
4.13900999999999967827e+01 4.14673000000000002181e-06
9.47772999999999967713e+01 2.56358000000000019547e-06
2.14554000000000002046e+02 7.51512000000000039422e-07
3.38583999999999996078e+00 8.00497999999999937685e-05
7.81036999999999981270e+00 3.88869000000000020201e-05
1.79936000000000007049e+01 2.67758999999999988825e-05
4.13796000000000034902e+01 1.34073999999999997378e-05
9.47082000000000050477e+01 3.03920999999999990896e-06
2.14090000000000003411e+02 -6.05302000000000002723e-07
3.38583999999999996078e+00 2.55645999999999991466e-05
7.81036999999999981270e+00 2.40512000000000010665e-05
1.79936000000000007049e+01 1.24651000000000003064e-05
4.13796000000000034902e+01 8.62950999999999998559e-06
9.47082000000000050477e+01 5.47702999999999980417e-06
2.14090000000000003411e+02 2.33319000000000010246e-06
